year,request_id,state,submitted_utc
2022,acad50ec-9da2-4cec-8f46-2607325c0876,accepted,2026-03-12T21:31:48.778646+00:00
2021,8987d1d3-5039-4397-b2c7-6ff49cac437f,accepted,2026-03-12T21:31:50.236411+00:00
2020,8d8f83db-0879-4e0a-8f21-dbd24eb35aae,accepted,2026-03-12T21:31:51.689687+00:00
2019,5d11996c-8400-486c-be84-d42b87916375,accepted,2026-03-12T21:31:53.166039+00:00
2018,690c28d7-a1e6-45f8-917d-78f00d043198,accepted,2026-03-12T21:31:54.879650+00:00
2017,b3ca48df-439d-4cb9-9df5-ea86596a17d5,accepted,2026-03-12T21:31:56.342550+00:00
2016,11ec9b46-3a6f-4ce0-9ba4-e40edc814942,accepted,2026-03-12T21:31:57.775935+00:00
2015,7b9322c2-7016-41ec-8b3f-3ca71b3ab0f1,accepted,2026-03-12T21:31:59.255828+00:00
2014,db633965-aebe-43f5-b5d8-17265466c4f1,accepted,2026-03-12T21:32:00.823784+00:00
2013,86c9acd8-c51d-472d-85a5-3625fe5fc967,accepted,2026-03-12T21:32:02.242646+00:00
2012,191365ce-5742-49ec-94b2-2c6dd7879f1c,accepted,2026-03-12T21:32:03.726701+00:00
2011,c620be9f-5b50-4666-95c5-9ffd31fc9463,accepted,2026-03-12T21:32:05.251377+00:00
2010,9c2b01e4-ce12-467f-ab8e-65dfb0f0c09c,accepted,2026-03-12T21:32:06.669546+00:00
2009,2fdaf4a0-b136-4aaf-8c17-a7ad03c44254,accepted,2026-03-12T21:32:08.311393+00:00
2008,5ca4a01b-ef69-4902-a394-0d8f011232e8,accepted,2026-03-12T21:32:09.758732+00:00
2007,4b4086fa-1e0a-46d1-8d72-ca0b3bb88f94,accepted,2026-03-12T21:32:11.223941+00:00
2006,c6077857-68d7-428a-8b68-91acbc1f790e,accepted,2026-03-12T21:32:12.694249+00:00
2005,f18228d5-2388-465d-9833-f67ad3e990c3,accepted,2026-03-12T21:32:14.161095+00:00
2004,0fb444a8-6c68-41fe-9c39-154b2068e19e,accepted,2026-03-12T21:32:15.582736+00:00
2003,9564cdbf-831a-4802-bc17-4e5c61b68541,accepted,2026-03-12T21:32:17.014703+00:00
2002,afd6ad34-1fea-426d-b029-3caddc27d735,accepted,2026-03-12T21:32:18.463301+00:00
2001,2048edf0-cceb-4175-a68b-fcdf13af2c90,accepted,2026-03-12T21:32:20.011189+00:00
2000,4bee789b-f830-42f0-a30a-8835365617c9,accepted,2026-03-12T21:32:21.605397+00:00
1999,3ad5e60a-239e-4a3e-b313-94b84b053cf3,accepted,2026-03-12T21:32:23.059322+00:00
1998,7a925c25-c968-45f2-b82d-a980639471bb,accepted,2026-03-12T21:32:24.691853+00:00
1997,6712e42f-e139-4398-afde-1b4c8af9eebe,accepted,2026-03-12T21:32:26.417702+00:00
